ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4
715926	5	N	7	37	19766	8.41	125.043	33.95891	-118.113036		OR	1	LAKEWOOD SB	3587			
715927	5	N	7	37	19766	8.86	125.493	33.9632	-118.1189		OR	1	PARAMOUNT	3588			
715928	5	S	7	37	19766	8.93	125.5	33.963867	-118.11987		OR	1	PARAMOUNT NB	3043			
715929	5	S	7	37	19766	9.5	126.07	33.971707	-118.123095	.47	ML	4	GUATEMALA	2023			
715930	5	N	7	37	19766	9.5	126.133	33.971763	-118.122905	.505	ML	4	GUATEMALA	2023			
715932	5	S	7	37	14974	9.87	126.44	33.97646	-118.125953		OR	1	SLAUSON	3332			
715933	5	N	7	37	14974	10.33	126.963	33.981839	-118.130679	.425	ML	4	GREENWOOD	2610			
715935	5	S	7	37	14974	10.76	127.33	33.986224	-118.136014		OR	1	GARFIELD	3331			
715937	5	S	7	37	14974	11.54	128.11	33.994935	-118.14469		OR	1	WASHINGTON 1	3330			
715938	5	N	7	37	14974	12.18	128.813	34.002541	-118.150997	.545	ML	4	GASPAR	2021			
715941	5	S	7	37	14974	12.68	129.25	34.007592	-118.157266		OR	1	ATLANTIC	3647			
715944	5	N	7	37	14974	13.35	129.983	34.013676	-118.166091	.323	ML	4	FERRIS	2537			
715947	5	S	7	37	14974	13.67	130.24	34.015325	-118.17127	.495	ML	3	S OF 710	2536			
715949	5	N	7	37		14.35	130.983	34.020076	-118.181702		OR	1	DOWNEY	3153			
715950	5	S	7	37		14.763	131.333	34.020088	-118.189029		OR	1	DITMAN	3151			
715952	5	S	7	37	44000	15.14	131.71	34.020961	-118.195456		OR	1	CALZONA	3150			
715953	5	N	7	37	44000	15.14	131.773	34.021135	-118.195375		OR	1	CALZONA	3154			
715957	5	S	7	37	44000	16.49	133.06	34.029033	-118.217141		OR	1	EIGHTH	3148			
715958	5	S	7	37	44000	17.44	134.01	34.041407	-118.218373		OR	1	FOURTH	3629			
715959	5	S	7	37	44000	17.93	134.5	34.047784	-118.214638		OR	1	CEASAR CHAVEZ	3628			
715961	5	S	7	37	44000	18.59	135.16	34.057314	-118.214378		OR	1	MISSION	3625			
715963	5	S	7	37	44000	19.45	136.02	34.069368	-118.217386		OR	1	BROADWAY	3624			
715964	5	S	7	37	44000	20.33	136.9	34.080943	-118.22237		OR	1	AVE 26	3146			
715966	5	S	7	37	44000	20.7	137.27	34.083198	-118.228213		OR	1	DUVALL	3094			
715967	5	N	7	37	44000	21.1	137.733	34.086881	-118.233611		OR	1	RIVERSIDE	3036			
715968	5	S	7	37	44000	21.93	138.5	34.095413	-118.243957		OR	1	STADIUM	3095			
715969	5	N	7	37	44000	21.8	138.433	34.094038	-118.242314		OR	1	STADIUM WAY	3037			
715970	5	N	7	37	44000	23.2	139.833	34.108429	-118.258982		OR	1	FLETCHER	3038			
715971	5	S	7	37	44000	23.58	140.15	34.111314	-118.264526		OR	1	GLENDALE	3096			
715972	210	E	7	37	3386	R40.7	40.989	34.120764	-117.88843		OR	1	CITRUS NB	4269			
715973	5	S	7	37	44000	24.168	140.738	34.118291	-118.270166		OR	1	LOS FELIZ	3097			
715974	5	S	7	37	30000	27.66	144.23	34.162761	-118.294541		OR	1	WESTERN EB	3101			
715975	5	S	7	37	30000	27.7	144.27	34.163197	-118.29497		OR	1	WESTERN WB	3102			
715976	5	N	7	37	30000	27.77	144.403	34.164088	-118.295568		OR	1	WESTERN EB	3220			
715977	5	N	7	37	30000	27.92	144.553	34.165484	-118.29753		OR	1	WESTERN WB	3219			
715978	5	S	7	37	30000	28.2	144.77	34.167992	-118.301293		OR	1	ALAMEDA EB	3103			
715979	5	S	7	37	8954	28.3	144.87	34.168963	-118.302648		OR	1	ALAMEDA WB	3104			
715980	5	N	7	37	8954	28.4	145.033	34.17007	-118.303837		OR	1	ALAMEDA EB	3222			
715981	5	N	7	37	8954	28.45	145.083	34.170572	-118.30448		OR	1	ALAMEDA WB	3221			
715982	5	N	7	37	8954	29.27	145.903	34.179879	-118.312407		OR	1	OLIVE	3223			
715983	5	S	7	37	8954	29.68	146.25	34.184491	-118.316733		OR	1	BURBANK EB	3243			
715984	5	S	7	37	8954	29.89	146.46	34.186308	-118.319601		OR	1	BURBANK WB	3242			
715985	5	N	7	37	8954	29.97	146.603	34.187037	-118.320656		OR	1	BURBANK 2	3224			
715986	5	S	7	37	8954	30.69	147.26	34.19381	-118.330292		OR	1	LINCOLN	3241			
715987	5	N	7	37	8954	30.69	147.323	34.193931	-118.330086		OR	1	LINCOLN	3225			
715988	5	N	7	37	8954	31.41	148.043	34.200877	-118.339185		OR	1	BUENA VISTA	3226			
715989	5	S	7	37	8954	31.42	147.99	34.200916	-118.339473		OR	1	BUENA VISTA	3240			
715990	5	S	7	37	44000	32.28	148.85	34.211259	-118.347597		OR	1	HOLLYWOOD WAY	3239			
715991	5	N	7	37	44000	32.41	149.043	34.212728	-118.349041		OR	1	HOLLYWOOD WAY	3227			
715992	5	S	7	37	44000	33.23	149.8	34.221104	-118.358957		OR	1	ROSCOE	3238			
715993	5	S	7	37	44000	33.58	150.15	34.221822	-118.364915		OR	1	SUNLAND	3237			
715994	5	N	7	37	44000	33.72	150.353	34.222169	-118.3673		OR	1	SUNLAND	3228			
715995	5	S	7	37	44000	34.24	150.81	34.225778	-118.375075		OR	1	PENROSE	3236			
715996	5	S	7	37	44000	37.3	153.87	34.243318	-118.42108	.275	ML	6	OSBORNE 1	3486			
715997	5	S	7	37	44000	34.88	151.45	34.226376	-118.385923		OR	1	TUXFORD	3235			
715998	5	N	7	37	44000	35.07	151.703	34.227093	-118.389006		OR	1	LANKERSHIM	3230			
715999	5	S	7	37	44000	35.07	151.64	34.226944	-118.389042		OR	1	LANKERSHIM	3234			
716000	5	S	7	37	44000	35.84	152.41	34.231047	-118.401401		OR	1	SHELDON	3233			
716001	5	N	7	37	44000	35.84	152.473	34.231273	-118.40134		OR	1	SHELDON	3231			
716002	5	S	7	37	44000	36.75	153.32	34.23742	-118.414827		OR	1	BRANFORD 1	3232			
716003	5	N	7	37	44000	37.37	154.003	34.244193	-118.42169		OR	1	OSBORNE 1	3484			
716004	5	S	7	37	44000	37.47	154.04	34.245149	-118.422992		OR	1	OSBORNE WB	3487			
716005	5	N	7	37	44000	37.55	154.183	34.24614	-118.423735		OR	1	OSBORNE 2	3485			
716006	5	S	7	37	44000	37.84	154.41	34.249183	-118.427257		OR	1	TERRA BELLA	3488			
716007	5	N	7	37		R46.77	163.18	34.341625	-118.526002	1.75	ML	5	WELDON CANYON	2088			
716008	5	S	7	37		R48.8	165.147	34.358847	-118.554053		OR	1	CALGROVE	4622			
716009	5	N	7	37	69088	R49.2	165.61	34.364506	-118.555784		OR	1	CALGROVE	4611			
716010	5	S	7	37	69088	R49.5	165.847	34.368149	-118.55885	.6	ML	4	S OF WABUSKA	2089			
716011	5	S	7	37	69088	R50.3	166.647	34.378358	-118.565494		OR	1	LYONS 2	4612			
716012	5	N	7	37	69088	R52.46	168.87	34.408287	-118.576071		OR	1	VALENCIA	4614			
716013	5	S	7	37	69088	R52.49	168.837	34.408604	-118.576573		OR	1	VALENCIA WB	4625			
716014	5	S	7	37	69088	R53.4	169.747	34.420911	-118.582284		OR	1	MAGIC MOUNTAIN	4626			
716015	5	N	7	37	69088	R53.64	170.05	34.424267	-118.58367		OR	1	MAGIC MOUNTAIN	4615			
716016	5	S	7	37	69088	R54.2	170.547	34.431273	-118.588555	.65	ML	4	RYE CANYON	4379			
716017	5	N	7	37	69088	R54.2	170.61	34.43153	-118.588374	.53	ML	4	RYE CANYON	4379			
716018	5	S	7	37		R56.47	172.817	34.454192	-118.615941		OR	1	HASLEY CANYON	4627			
716019	5	N	7	37		R56.76	173.17	34.458426	-118.615547		OR	1	HASLEY CANYON	4616			
716020	5	S	7	37		R59.5	175.847	34.495729	-118.623863		OR	1	LAKE HUGHES	4629			
716021	5	N	7	37		R59.6	176.01	34.497131	-118.624674		OR	1	LAKE HUGHES	4617			
716023	5	N	7	37		R66.1	182.44	34.571045	-118.689102	5	ML	4	TEMPLIN	4618			
716025	5	N	7	37		R78.1	194.617	34.709779	-118.796647		OR	1	SMOKEY BEAR RD	4619			
716026	210	E	7	37	30014	R43.3	43.589	34.117595	-117.844142	.8	HV	1	SUNFLOWER AV	4271			
716028	10	E	7	37	44000	S.52	16.759	34.055167	-118.216535	.291	ML	3	ECHANDIA	2092			
716029	10	W	7	37	44000	R6.46	4.305	34.031891	-118.416029		OR	1	OVERLAND	3114			
716030	10	E	7	37	44000	R6.5	4.345	34.031647	-118.41534		OR	1	OVERLAND	3132			
716032	10	W	7	37	44000	R6.73	4.575	34.030891	-118.411427	.38	ML	4	MOTOR	2199			
716033	10	E	7	37	44000	R7.22	5.065	34.029516	-118.403014		OR	1	MANNING	3133			
716035	10	E	7	37	44000	R7.99	5.835	34.031182	-118.390169		OR	1	NATIONAL	3134			
716036	10	E	7	37	44000	R8.36	6.205	34.034311	-118.384884	.38	ML	5	CATTARAUGUS	2202			
716038	10	W	7	37	44000	R8.73	6.575	34.036959	-118.379466		OR	1	LA CIENEGA	3116			
716039	10	E	7	37	44000	R8.75	6.595	34.036847	-118.379114		OR	1	LA CIENEGA	3135			
716040	10	E	7	37	44000	R9.01	6.855	34.036314	-118.374796		OR	1	VENICE	3136			
716041	10	W	7	37	44000	R9.21	7.055	34.03577	-118.371368		OR	1	FAIRFAX	3117			
716043	10	E	7	37	44000	R9.51	7.355	34.034495	-118.366371		OR	1	WASHINGTON	3137			
716044	10	E	7	37	44000	R10.23	8.075	34.033989	-118.353882		OR	1	LA BREA SB	3138			
716045	10	E	7	37	44000	R10.53	8.375	34.034193	-118.348655		OR	1	LA BREA 2	3139			
716046	10	W	7	37	44000	R10.53	8.375	34.03448	-118.348667		OR	1	LA BREA NB	3119			
716047	10	E	7	37	44000	R10.7	8.545	34.034363	-118.345701	.265	ML	4	HARCOURT	2200			
716050	10	E	7	37	44000	R11.06	8.905	34.034677	-118.339444	.42	ML	4	WEST	2204			
716051	10	E	7	37	44000	R11.53	9.375	34.035067	-118.331254		FR	1	CRENSHAW 2	3140			
716054	10	W	7	37	44000	R12.23	10.075	34.036614	-118.31917		OR	1	ARLINGTON 1	3121			
716055	10	E	7	37	44000	R12.45	10.295	34.03681	-118.315379		OR	1	ARLINGTON 2	3141			
716057	10	E	7	37	44000	R12.58	10.425	34.036953	-118.313131	.25	ML	4	GRAMERCY	2239			
716058	10	W	7	37	44000	R12.7	10.545	34.037281	-118.311045		OR	1	WESTERN 1	3122			
716059	10	W	7	37	44000	R12.95	10.795	34.037253	-118.306713		FR	1	WESTERN 2	3142			
716060	10	E	7	37	44000	R12.95	10.795	34.036945	-118.306723		OR	1	WESTERN 2	3142			
716061	10	W	7	37	44000	R13.21	11.055	34.037222	-118.302221		OR	1	NORMANDIE 1	3123			
716063	10	W	7	37	44000	R13.53	11.375	34.037129	-118.296691	.225	ML	4	BUDLONG	2466			
716064	10	W	7	37	44000	R13.66	11.505	34.037096	-118.294389		OR	1	VERMONT 1	3124			
716065	10	E	7	37	44000	R13.95	11.795	34.036796	-118.289266		OR	1	VERMONT 2	3144			
716066	10	E	7	37	44000	14.37	12.215	34.037427	-118.282004		OR	1	HOOVER 2	3145			
716067	10	E	7	37	44000	18.53	17.03	34.054801	-118.211859	.125	ML	3	STATE	2484			
716069	10	E	7	37	44000	18.75	17.25	34.053806	-118.208214	.25	ML	4	SAINT LOUIS	2485			
716071	10	W	7	37	44000	18.9	17.4	34.053753	-118.205692		OR	1	SOTO	3816			
716072	10	E	7	37	44000	19.03	17.53	34.05411	-118.203478	.28	ML	6	SOTO	2486			
716074	10	W	7	37	44000	19.31	17.81	34.055448	-118.19888		FR	1	TREMONT	2487			
716075	10	E	7	37	44000	19.66	18.16	34.055306	-118.192689	.37	ML	6	INDIANA	2093			
716076	10	W	7	37	44000	19.66	18.16	34.055573	-118.192729	.37	ML	6	INDIANA	2093			
716078	10	E	7	37	44000	20.05	18.55	34.055285	-118.185874	.5	ML	6	HERBERT	2488			
716081	10	E	7	37		20.79	19.29	34.059959	-118.174416	.19	ML	4	EASTERN	2478			
716084	10	W	7	37	48914	21.25	19.75	34.061442	-118.167268	.34	ML	4	W OF 710	2319			
716085	10	E	7	37	48914	21.54	20.04	34.061918	-118.162504	.38	ML	4	E OF 710	2542			
716086	10	W	7	37	884	21.72	20.22	34.063934	-118.160163		OR	1	WINTHROPE	3812			
716087	10	E	7	37	884	22.01	20.51	34.065882	-118.155495	.428	ML	5	WARWICK	2094			
716088	10	W	7	37	884	22.03	20.53	34.066326	-118.155441	.29	ML	4	WARWICK	2534			
716089	10	W	7	37	884	22.3	20.8	34.068501	-118.151418		OR	1	HELLMAN	3811			
716090	10	E	7	37	884	22.4	20.9	34.069016	-118.149713		OR	1	FREMONT	3725			
716091	10	W	7	37	884	22.82	21.32	34.071793	-118.143409	.495	ML	4	MARENGO	2095			
716092	10	E	7	37	884	22.91	21.41	34.071251	-118.141723	.446	ML	4	MARENGO	2533			
716093	10	E	7	37	884	23.29	21.79	34.071335	-118.135155		OR	1	ATLANTIC SB	3726			
716094	10	W	7	37	884	23.29	21.79	34.071644	-118.135158		OR	1	ATLANTIC SB	3810			
716095	10	E	7	37	884	23.38	21.88	34.071342	-118.133569		OR	1	ATLANTIC NB	3727			
716096	10	W	7	37	884	23.38	21.88	34.071662	-118.133572		OR	1	ATLANTIC NB	3809			
716097	10	E	7	37	884	23.93	22.43	34.071438	-118.123947		OR	1	GARFIELD SB	3728			
716098	10	W	7	37	884	23.95	22.45	34.071803	-118.123604		OR	1	GARFIELD SB	3808			
716099	10	E	7	37	884	24.02	22.52	34.071457	-118.122386		OR	1	GARFIELD NB	3729			
716100	10	W	7	37	884	24.04	22.54	34.071819	-118.12204		OR	1	GARFIELD NB	3807			
716101	10	W	7	37	884	24.31	22.81	34.071889	-118.117349	.38	ML	4	ALMANSOR	2096			
716103	10	E	7	37	884	24.77	23.27	34.071665	-118.10937		OR	1	NEW SB	3730			
716104	10	W	7	37	884	24.8	23.3	34.072021	-118.108838		OR	1	NEW SB	3806			
716105	10	E	7	37	48914	24.87	23.37	34.07168	-118.107635		OR	1	NEW NB	3731			
716106	10	W	7	37	48914	24.89	23.39	34.072053	-118.107276		OR	1	NEW NB	3805			
716107	10	E	7	37	48914	25.26	23.76	34.071731	-118.100852		OR	1	DEL MAR SB	3732			
716108	10	W	7	37	67042	25.27	23.77	34.072192	-118.100669		OR	1	DEL MAR SB	3804			
716109	10	E	7	37	62896	25.39	23.89	34.071766	-118.098584		OR	1	DEL MAR NB	3733			
716110	10	W	7	37	62896	25.39	23.89	34.072118	-118.09858		OR	1	DEL MAR NB	3803			
716111	10	E	7	37	62896	25.77	24.27	34.071834	-118.091958		OR	1	SAN GABRIEL SB	3734			
716112	10	W	7	37	62896	25.8	24.3	34.072221	-118.091434		OR	1	SAN GABRIEL SB	3802			
716113	10	E	7	37	62896	25.89	24.39	34.07186	-118.089866		OR	1	SAN GABRIEL NB	3735			
716114	10	W	7	37	62896	25.9	24.4	34.072253	-118.089691		OR	1	SAN GABRIEL NB	3801			
716115	10	E	7	37	62896	26.31	24.81	34.071945	-118.082543		OR	1	WALNUT GROVE	3736			
716116	10	W	7	37	62896	26.292	24.792	34.072342	-118.082856		OR	1	WALNUT GROVE	3800			
716117	10	W	7	37	62896	26.79	25.29	34.072457	-118.074173		OR	1	ROSEMEAD SB	3799			
716118	10	E	7	37	62896	26.79	25.29	34.072071	-118.074173		OR	1	ROSEMEAD SB	3738			
716119	10	W	7	37	22230	26.91	25.41	34.072494	-118.07208		OR	1	ROSEMEAD NB	3798			
716120	10	E	7	37	22230	26.94	25.44	34.072083	-118.071554		OR	1	ROSEMEAD NB	3739			
716121	10	E	7	37	22230	27.098	25.598	34.072102	-118.06879		OR	1	FLAIR	3740			
716124	10	W	7	37	22230	27.63	26.13	34.072661	-118.059491		OR	1	TEMPLE CITY	3797			
716126	10	E	7	37	22230	28.09	26.59	34.071934	-118.051536	.475	ML	4	BALDWIN	3741			
716127	10	W	7	37	22230	28.56	27.06	34.069271	-118.044184		OR	1	SANTA ANITA	3796			
716128	10	E	7	37	22230	28.78	27.28	34.06847	-118.040429		OR	1	SANTA ANITA	3430			
716129	10	W	7	37	22230	29.34	27.84	34.068078	-118.030663		OR	1	PECK	3795			
716130	10	E	7	37	22230	29.51	28.01	34.067963	-118.027743		OR	1	VALLEY	3431			
716131	10	W	7	37	22230	29.611	28.111	34.068199	-118.025926		OR	1	VALLEY	3794			
716132	10	E	7	37	22230	29.98	28.48	34.06699	-118.019773		OR	1	STEWART	3432			
716133	10	E	7	37	22230	30.69	29.19	34.063981	-118.008051		OR	1	DURFEE	3433			
716134	10	W	7	37	22230	30.69	29.19	34.064175	-118.008013		FR	1	DURFEE RD	3433			
716135	10	W	7	37	3666	31.72	30.22	34.066554	-117.990356		OR	1	FRAZIER	3791			
716136	10	W	7	37	3666	32.21	30.71	34.067663	-117.981905		OR	1	BALDWIN PARK SB	3790			
716137	10	E	7	37	3666	32.31	30.81	34.06769	-117.980138		OR	1	BALDWIN PARK NB	3747			
716138	10	W	7	37	3666	32.33	30.83	34.067905	-117.979831		OR	1	BALDWIN PARK NB	3789			
716139	10	W	7	37	3666	32.81	31.31	34.069011	-117.971555		OR	1	FRANCISQUITO	3788			
716140	10	E	7	37	3666	33.46	31.96	34.070282	-117.960307		OR	1	PUENTE NB	3748			
716141	10	W	7	37	3666	33.48	31.98	34.07049	-117.959994		OR	1	PUENTE	3787			
716142	210	E	7	37	30014	R43.3	43.589	34.117595	-117.844142	.8	ML	4	SUNFLOWER AV	4271			
716143	210	E	7	37	30014	R44.2	44.489	34.120911	-117.829234	.65	ML	4	LONE HILL AV	4451			
716144	10	W	7	37	84200	34.36	32.86	34.072082	-117.94475		OR	1	WEST COVINA	3786			
716145	10	E	7	37	84200	34.44	32.94	34.072075	-117.943345		OR	1	WEST COVINA PKWY	3749			
716146	10	W	7	37	84200	34.9	33.4	34.072549	-117.935381	.5	ML	5	SUNSET	2496			
716148	10	W	7	37	84200	35.36	33.86	34.072468	-117.92737		OR	1	VINCENT SB	3785			
716149	10	E	7	37	84200	35.36	33.86	34.0723	-117.927358		OR	1	VINCENT SB	3750			
716150	10	W	7	37	84200	35.45	33.95	34.072452	-117.925803		OR	1	VINCENT NB	3784			
716151	10	E	7	37	84200	35.5	34	34.072274	-117.924923		OR	1	VINCENT NB	3751			
716152	10	E	7	37	84200	35.9	34.4	34.072202	-117.917964	.48	ML	4	LARK ELLEN	2100			
716153	10	W	7	37	84200	35.9	34.4	34.072356	-117.917965	.48	ML	5	LARK ELLEN	2100			
716154	10	W	7	37	84200	36.41	34.91	34.072264	-117.909076		OR	1	AZUSA SB	3783			
716155	10	E	7	37	84200	36.46	34.96	34.072101	-117.908205		OR	1	AZUSA SB	3752			
716156	10	W	7	37	84200	36.52	35.02	34.072249	-117.907159		OR	1	AZUSA NB	3782			
716157	10	E	7	37	84200	36.564	35.064	34.072082	-117.906392		OR	1	AZUSA NB	3753			
716158	10	W	7	37	84200	37.43	35.93	34.072105	-117.891295		OR	1	CITRUS SB	3781			
716159	10	W	7	37	84200	37.52	36.02	34.072087	-117.889726		OR	1	CITRUS NB	3780			
716160	10	E	7	37	84200	37.59	36.09	34.071847	-117.888507		OR	1	CITRUS 2	3754			
716161	10	W	7	37	84200	37.92	36.42	34.072029	-117.882752		OR	1	BARRANCA SB	3779			
716162	10	W	7	37	84200	38.07	36.57	34.072002	-117.880137		OR	1	BARRANCA NB	3778			
716163	10	E	7	37	84200	38.09	36.59	34.071814	-117.87979		OR	1	BARRANCA 2	3755			
716164	10	W	7	37	84200	38.39	36.89	34.071952	-117.87456		OR	1	GRAND	3777			
716165	10	E	7	37	84200	38.48	36.98	34.07172	-117.872992		OR	1	GRAND	3756			
716166	10	W	7	37	84200	38.89	37.39	34.071035	-117.865957		OR	1	HOLT WB	3776			
716167	10	E	7	37	84200	38.95	37.45	34.070451	-117.86513		OR	1	HOLT SB	3757			
716168	10	W	7	37	84200	39.051	37.551	34.069881	-117.863508		OR	1	HOLT EB	3775			
716169	10	E	7	37	84200	39.14	37.64	34.069047	-117.862283		OR	1	HOLT  NB	3758			
716170	10	W	7	37		40.35	38.85	34.069037	-117.841455		OR	1	VIA VERDE 1	3774			
716171	10	E	7	37		40.59	39.09	34.068106	-117.83743		OR	1	VIA VERDE	3759			
716172	10	E	7	37		40.7	39.2	34.067608	-117.835601	.695	ML	4	E OF VIA V	2103			
716174	10	W	7	37		41.2	39.7	34.064588	-117.827856	.625	ML	5	COVINA HILLS 1	2104			
716176	10	W	7	37		41.6	40.1	34.063827	-117.820969	.39	ML	5	COVINA HILLS 2	2105			
716178	10	W	7	37	58072	41.98	40.48	34.0639	-117.814349		OR	1	KELLOGG	3773			
716181	10	E	7	37	58072	42.76	41.26	34.067443	-117.801629	.89	ML	5	E OF 71	2106			
716182	10	W	7	37	58072	43.52	42.02	34.072518	-117.789858		OR	1	FAIRPLEX	3772			
716183	10	E	7	37	58072	43.76	42.26	34.072803	-117.785705		OR	1	FAIRPLEX	3762			
716184	10	W	7	37	58072	43.85	42.35	34.072978	-117.784144		OR	1	DUDLEY	3771			
716185	10	E	7	37	58072	44.13	42.63	34.072839	-117.779264		OR	1	DUDLEY	3763			
716187	10	E	7	37	58072	44.68	43.18	34.071766	-117.769758	.515	ML	4	CLEVELAND	2107			
716188	10	W	7	37	58072	45.16	43.66	34.071029	-117.761475		OR	1	WHITE	3770			
716189	10	W	7	37	58072	45.62	44.12	34.073286	-117.753978		OR	1	GAREY	3769			
716190	10	E	7	37	58072	46.01	44.51	34.075604	-117.74786		OR	1	ORANGE GROVE	3764			
716191	10	W	7	37	58072	46.22	44.72	34.077146	-117.744573		OR	1	TOWNE	3768			
716192	10	E	7	37	58072	46.56	45.06	34.079138	-117.739234		OR	1	TOWNE	3765			
716193	10	W	7	37	58072	47.24	45.74	34.081731	-117.72793	.2	ML	4	MOUNTAIN	2109			
716195	10	W	7	37	58072	47.6	46.1	34.081821	-117.721638		OR	1	INDIAN HILL	3767			
716196	10	E	7	37	13756	47.87	46.37	34.081722	-117.71693		OR	1	INDIAN HILL	3766			
716197	57	N	7	37		R1.26	13.077	33.960273	-117.855729		OR	1	BREA CANYON	3974			
716200	57	S	7	37	19192	R3	14.902	33.981951	-117.842186		OR	1	PATHFINDER	3985			
716201	57	N	7	37	19192	R3.4	15.217	33.988721	-117.842841		OR	1	PATHFINDER	3976			
716203	57	N	7	37	58072	R7.3	19.117	34.059539	-117.804678	.56	ML	3	CAMPUS	4558			
716204	60	W	7	37	44000	.45	.624	34.029636	-118.217534		OR	1	SOTO	3087			
716205	60	E	7	37	44000	.52	.694	34.02902	-118.216326		OR	1	SOTO	3131			
716206	60	W	7	37	44000	R.8	.974	34.029065	-118.211497	.54	ML	3	E OF 101 / MARRIETTA	2538			
716207	60	W	7	37	44000	R1.53	1.704	34.029648	-118.199219		OR	1	LORENA	3126			
716208	60	E	7	37	44000	R1.56	1.734	34.029608	-118.198629		OR	1	LORENA	3127			
716209	60	E	7	37	44000	R2.05	2.224	34.03154	-118.190445		OR	1	INDIANA	3128			
716210	60	E	7	37	44000	R2.46	2.634	34.032146	-118.183387		OR	1	THIRD	3129			
716211	60	W	7	37	44000	R2.52	2.694	34.032661	-118.182471		OR	1	THIRD	3130			
716213	60	E	7	37		R3.08	3.254	34.034994	-118.173285	.47	ML	4	EASTERN / W OF 710	2367			
716214	60	W	7	37	48914	R4.35	4.524	34.035886	-118.151414		OR	1	ATLANTIC SB	4071			
716215	60	E	7	37	48914	R4.35	4.524	34.035723	-118.151516		OR	1	ATLANTIC SB	4007			
716216	60	E	7	37	48914	R4.564	4.738	34.034219	-118.148257		OR	1	ATLANTIC NB	4008			
716217	60	W	7	37	48914	R4.53	4.704	34.034655	-118.148653		OR	1	ATLANTIC NB	4070			
716218	60	W	7	37	48816	R4.94	5.114	34.033066	-118.141975		OR	1	FINDLAY	4069			
716219	60	W	7	37	48914	R7.6	7.774	34.03582	-118.095997		OR	1	PARAMOUNT SB	4067			
716220	60	E	7	37	48914	R7.74	7.914	34.035853	-118.093489		OR	1	PARAMOUNT SB	4010			
716221	60	W	7	37		R7.81	7.984	34.036302	-118.092399		OR	1	PARAMOUNT NB	4066			
716222	60	E	7	37		R7.91	8.084	34.036512	-118.090626		OR	1	PARAMOUNT NB	4011			
716223	60	E	7	37	62896	R8.52	8.661	34.039225	-118.081093		OR	1	SAN GABRIEL	4012			
716224	60	W	7	37	62896	R8.58	8.721	34.039747	-118.080226		OR	1	SAN  GABRIEL	4065			
716225	60	W	7	37		9.39	9.531	34.041418	-118.066377		OR	1	ROSEMEAD SB	4064			
716226	60	E	7	37		9.46	9.601	34.041255	-118.065153		OR	1	ROSEMEAD SB	4013			
716227	60	W	7	37		9.54	9.681	34.041414	-118.06376		OR	1	ROSEMEAD NB	4063			
716228	60	E	7	37		9.61	9.751	34.041213	-118.062543		OR	1	ROSEMEAD NB	4014			
716229	60	W	7	37		10.1	10.241	34.040308	-118.054105		OR	1	SANTA ANITA SB	4062			
716230	60	E	7	37		10.13	10.271	34.039962	-118.05362		OR	1	SANTA ANITA SB	4015			
716231	60	E	7	37		10.26	10.401	34.03958	-118.051399		OR	1	SANTA ANITA NB	4016			
