ID,Latitude,Longitude
759165,34.282445,-118.734398
759257,34.016298,-118.483358
759418,33.923292,-118.281555
759576,34.021135,-118.195375
759591,34.114313,-118.267737
759850,34.277432,-118.45372
759858,34.300684,-118.477275
759967,33.875898,-118.166089
759991,33.875647,-118.064958
760002,34.158544,-118.640131
760063,33.929816,-118.373757
760085,33.930073,-118.344285
760283,33.912001,-118.157276
760314,33.91291,-118.138216
760345,33.914009,-118.113945
760398,33.913204,-118.143449
760403,33.913023,-118.148672
760442,33.925127,-118.330354
760465,33.926754,-118.304542
760496,33.927683,-118.266559
760558,33.926113,-118.212249
760572,33.924777,-118.209134
760706,34.269157,-118.634264
760718,34.28146,-118.68836
760726,34.281486,-118.691694
761117,34.146752,-118.029146
761191,34.13449,-117.958916
761220,34.125143,-117.915079
761240,34.120764,-117.88843
761388,34.120813,-117.90718
761428,34.148823,-118.069206
761435,33.859955,-118.307741
761552,33.921786,-118.369125
762353,33.890697,-118.041009
762484,34.068501,-118.151418
762576,33.794536,-118.10487
762580,33.802629,-118.12381
762602,34.220042,-118.473313
762616,33.916153,-118.104585
762620,33.958207,-118.087265
762624,33.992148,-118.069414
762631,34.009316,-118.057906
762649,33.86612,-118.098646
762661,33.902261,-118.105349
762671,33.950974,-118.091381
762679,33.9855,-118.071807
763299,33.928643,-118.281065
763392,33.958618,-118.280545
763405,33.976848,-118.280643
763413,33.976848,-118.281038
763458,34.023654,-118.243938
763507,33.78064,-118.280253
763573,34.045058,-117.800792
763590,33.981951,-117.842186
763610,34.142896,-118.172193
763612,34.142674,-118.184801
763748,33.89061,-118.041088
763963,34.033989,-118.353882
763975,33.992305,-118.141915
763995,34.220025,-118.409585
764019,34.004792,-118.063514
764037,34.026164,-118.275402
764064,34.282447,-118.756252
764106,34.171717,-118.388072
764120,34.200041,-118.403183
764156,34.239405,-118.416632
764295,34.391522,-118.474877
764417,34.162761,-118.294541
764435,34.011295,-118.161135
764559,33.85914,-118.289912
764578,33.965086,-118.370528
764596,33.928621,-118.368522
764613,33.86017,-118.310871
764622,34.149194,-118.804893
764627,34.148124,-118.801429
764657,33.847883,-118.272889
764669,33.90684,-118.370538
764676,33.816753,-118.18802
764814,34.164951,-118.836331
765472,34.150034,-118.806843
765506,34.028077,-118.449505
765943,34.273529,-118.581144
766013,34.278074,-118.526592
766027,34.278043,-118.517789
766097,34.266055,-118.463188
766111,34.267929,-118.437323
766138,34.265847,-118.468667
766185,34.267093,-118.440661
766209,33.876279,-118.095037
766337,33.855273,-118.2849
766505,33.848064,-118.272687
766534,33.846711,-118.092994
766601,34.024322,-117.755055
766619,34.023534,-117.745774
766641,34.02362,-117.75203
766844,34.024861,-117.730929
766937,34.052932,-118.005202
766952,34.120834,-118.480151
767053,34.169308,-118.468207
767234,33.874318,-118.101628
767471,34.156037,-118.22443
767585,34.166367,-118.224105
767621,34.135316,-118.229569
767760,34.112828,-118.177006
767791,34.555273,-118.132044
767810,34.249209,-119.204207
767838,33.931513,-118.361927
767998,34.120158,-117.72024
768328,34.07311,-117.753926
768352,34.079381,-117.739096
768354,34.077197,-117.744448
768598,34.03706,-118.289279
769042,34.439618,-118.598334
769062,33.966883,-117.84993
769069,33.982608,-117.842112
769151,34.120189,-117.786499
769294,34.048371,-117.775944
769418,34.125162,-118.343673
769806,34.196934,-118.185042
770089,34.2608,-118.331009
770243,34.302019,-118.422166
770315,34.32289,-118.479923
770386,34.207155,-118.2137
770407,34.120571,-117.906859
770578,34.156489,-118.158295
771268,34.196191,-118.859225
771329,34.225045,-118.847994
771432,34.274194,-118.857449
771542,34.205523,-118.851449
771606,34.11972,-117.803812
771767,34.256535,-118.472044
771769,34.256535,-118.472044
771848,33.809074,-118.157336
771877,33.826587,-118.208548
771969,33.978135,-118.390097
772151,34.168861,-118.498546
772168,34.165406,-118.483271
772355,34.157863,-118.64146
772457,34.019206,-118.423854
772489,34.273908,-118.627732
772513,34.070398,-118.235253
772689,33.788736,-118.207663
772711,33.788737,-118.207896
772859,34.130657,-117.946351
772872,34.128708,-117.939757
772888,34.129156,-117.923041
772919,34.120865,-117.881465
772935,34.117234,-117.861438
773305,34.035797,-118.101226
773330,34.038564,-118.045604
773460,34.021504,-117.990223
773493,33.999541,-117.940612
773507,33.994094,-117.897858
773630,34.457553,-118.615974
774101,33.998479,-118.407756
774165,34.001459,-117.839573
774227,33.984496,-118.442338
774389,33.806185,-118.207378
774623,34.003773,-117.954366
774856,33.976502,-117.842562
774878,34.036865,-117.806244
774929,34.016499,-117.817563
774949,34.007264,-117.826181
775100,34.052705,-117.780575
775155,34.052632,-118.449662
775226,34.145971,-118.470484
775230,34.077939,-118.470493
775261,34.0624,-118.457437
775266,34.095833,-118.476524
775280,34.056927,-118.453241
775335,34.00595,-117.961474
775341,33.996031,-117.924675
775391,34.249318,-118.427068
775610,34.063457,-118.247963
775689,34.044907,-118.009503
776081,34.169082,-118.498485
776228,34.031074,-118.170833
776289,33.994201,-118.176658
776631,34.356141,-119.433965
776690,33.999591,-117.850605
776691,33.999591,-117.850605
776739,33.825976,-118.240596
776845,33.952079,-118.369273
777169,34.06927,-118.149982
777253,33.792058,-118.207497
777263,33.79305,-118.207495
